iter	Passed	Remaining
1185	55862	14789
1186	55909	14742
1187	55950	14694
1188	56001	14647
1189	56047	14600
1190	56093	14553
1191	56139	14505
1192	56183	14457
1193	56227	14410
1194	56278	14363
1195	56318	14315
1196	56369	14268
1197	56409	14220
1198	56450	14171
1199	56491	14122
1200	56532	14074
1201	56574	14025
1202	56623	13979
1203	56666	13931
1204	56710	13883
1205	56758	13836
1206	56801	13788
1207	56845	13740
1208	56897	13695
1209	56957	13650
1210	57002	13603
1211	57043	13554
1212	57096	13509
1213	57147	13463
1214	57191	13415
1215	57235	13367
1216	57284	13320
1217	57333	13274
1218	57384	13228
1219	57431	13180
1220	57473	13132
1221	57520	13085
1222	57567	13038
1223	57612	12990
1224	57660	12944
1225	57705	12896
1226	57748	12848
1227	57796	12801
1228	57841	12754
1229	57887	12707
1230	57929	12658
1231	57972	12610
1232	58024	12565
1233	58071	12517
1234	58120	12471
1235	58166	12423
1236	58214	12377
1237	58262	12330
1238	58306	12282
1239	58355	12235
1240	58398	12187
1241	58450	12141
1242	58501	12095
1243	58549	12048
1244	58590	12000
1245	58639	11953
1246	58692	11907
1247	58741	11861
1248	58785	11813
1249	58828	11765
1250	58874	11718
1251	58920	11671
1252	58961	11622
1253	59005	11575
1254	59046	11527
1255	59093	11479
1256	59140	11432
1257	59187	11385
1258	59229	11337
1259	59275	11290
1260	59316	11242
1261	59364	11195
1262	59418	11149
1263	59461	11102
1264	59504	11054
1265	59548	11006
1266	59595	10959
1267	59638	10911
1268	59679	10863
1269	59725	10816
1270	59774	10769
1271	59822	10722
1272	59874	10676
1273	59918	10629
1274	59960	10581
1275	60008	10534
1276	60048	10486
1277	60091	10438
1278	60141	10391
1279	60186	10344
1280	60226	10296
1281	60272	10249
1282	60317	10201
1283	60357	10153
1284	60420	10109
1285	60470	10062
1286	60519	10016
1287	60560	9968
1288	60606	9920
1289	60646	9872
1290	60699	9826
1291	60755	9781
1292	60806	9734
1293	60851	9687
1294	60901	9640
1295	60949	9593
1296	60996	9546
1297	61039	9499
1298	61085	9452
1299	61130	9404
1300	61175	9357
1301	61218	9309
1302	61266	9262
1303	61311	9215
1304	61355	9168
1305	61398	9120
1306	61444	9073
1307	61494	9026
1308	61536	8978
1309	61582	8931
1310	61632	8885
1311	61681	8838
1312	61725	8791
1313	61770	8743
1314	61814	8696
1315	61860	8649
1316	61901	8601
1317	61948	8554
1318	62000	8507
1319	62050	8461
1320	62113	8416
1321	62162	8369
1322	62213	8323
1323	62264	8276
1324	62311	8229
1325	62357	8182
1326	62406	8135
1327	62452	8088
1328	62496	8041
1329	62544	7994
1330	62585	7946
1331	62632	7899
1332	62679	7852
1333	62727	7805
1334	62773	7758
1335	62821	7711
1336	62866	7664
1337	62911	7617
1338	62958	7570
1339	63008	7523
1340	63058	7476
1341	63103	7429
1342	63145	7381
1343	63192	7334
1344	63237	7287
